20,20,0,1,1,5,20,6,3
60,20,0,1,1,5,20,6,3
100,20,0,1,1,5,20,6,3
140,20,0,1,1,5,20,6,3
180,20,0,1,1,5,20,6,3
220,20,0,1,1,5,20,6,3
260,20,0,1,1,5,20,6,3
300,20,0,1,1,5,20,6,3
340,20,0,1,1,5,20,6,3
380,20,0,1,1,5,20,6,3
420,20,0,1,1,5,20,6,3
460,20,0,1,1,5,20,6,3
500,20,0,1,1,5,20,6,3
540,20,0,1,1,5,20,6,3
580,20,0,1,1,5,20,6,3
620,20,0,1,1,5,20,6,3
660,20,0,1,1,5,20,6,3
700,20,0,1,1,5,20,6,3
740,20,0,1,1,5,20,6,3
780,20,0,1,1,5,20,6,3
820,20,0,1,1,5,20,6,3
860,20,0,1,1,5,20,6,3
900,20,0,1,1,5,20,6,3
940,20,0,1,1,5,20,6,3
980,20,0,1,1,5,20,6,3
1020,20,0,1,1,5,20,6,3
1060,20,0,1,1,5,20,6,3
1100,20,0,1,1,5,20,6,3
1140,20,0,1,1,5,20,6,3
1180,20,0,1,1,5,20,6,3
1220,20,0,1,1,5,20,6,3
1260,20,0,1,1,5,20,6,3
20,60,0,1,1,5,20,6,3
60,60,0,1,1,5,20,6,3
100,60,0,1,1,5,20,6,3
140,60,0,1,1,5,20,6,3
180,60,0,1,1,5,20,6,3
220,60,0,1,1,5,20,6,3
260,60,0,1,1,5,20,6,3
300,60,0,1,1,5,20,6,3
340,60,0,1,1,5,20,6,3
380,60,0,1,1,5,20,6,3
420,60,0,1,1,5,20,6,3
460,60,0,1,1,5,20,6,3
500,60,0,1,1,5,20,6,3
540,60,0,1,1,5,20,6,3
580,60,0,1,1,5,20,6,3
620,60,0,1,1,5,20,6,3
660,60,0,1,1,5,20,6,3
700,60,0,1,1,5,20,6,3
740,60,0,1,1,5,20,6,3
780,60,0,1,1,5,20,6,3
820,60,0,1,1,5,20,6,3
860,60,0,1,1,5,20,6,3
900,60,0,1,1,5,20,6,3
940,60,0,1,1,5,20,6,3
980,60,0,1,1,5,20,6,3
1020,60,0,1,1,5,20,6,3
1060,60,0,1,1,5,20,6,3
1100,60,0,1,1,5,20,6,3
1140,60,0,1,1,5,20,6,3
1180,60,0,1,1,5,20,6,3
1220,60,0,1,1,5,20,6,3
1260,60,0,1,1,5,20,6,3
20,100,0,1,1,5,20,6,3
60,100,0,1,1,5,20,6,3
100,100,0,1,1,5,20,6,3
140,100,0,1,1,5,20,6,3
180,100,0,1,1,5,20,6,3
220,100,0,1,1,5,20,6,3
260,100,0,1,1,5,20,6,3
300,100,0,1,1,5,20,6,3
340,100,0,1,1,5,20,6,3
380,100,0,1,1,5,20,6,3
